Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Glb Construction Inc,Construction,,,(718) 735-5000,https://jwiz.com/jewish/glb-construction-inc-85794.html,"559 Lenox Rd Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/glb-construction-inc-533971302,"$1,500 setup $20 per month (blog, landing & contact form)"
East Brooklyn Develpment,Construction,,,(718) 554-6164,N/A,"525 E 39th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/east-brooklyn-develpment-462446257,"$1,500 setup $20 per month (blog, landing & contact form)"
Prov Enterprises Inc,Construction,,,(718) 287-1000,http://www.bovaenterprises.com,"4310 Church Ave Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/prov-enterprises-inc-465602052,"$1,500 setup $20 per month (blog, landing & contact form)"
New York Freeze Air Mecha,Construction,,,(718) 462-0397,N/A,"150 E 18th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/new-york-freeze-air-mecha-526180362,"$1,500 setup $20 per month (blog, landing & contact form)"
B & B Construction Mgmt,Construction,,,(800) 931-3313,N/A,"422 E 26th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/b-b-construction-mgmt-10891664,"$1,500 setup $20 per month (blog, landing & contact form)"
Sbi Contracting Ny Corp,Construction,,,(718) 284-5271,N/A,"622 E 39th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/sbi-contracting-ny-corp-526499515,"$1,500 setup $20 per month (blog, landing & contact form)"
Alam Painting & Contracting,Construction,,,(718) 421-9058,N/A,"460 E 22nd St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/alam-painting-contracting-451899240,"$1,500 setup $20 per month (blog, landing & contact form)"
Construction Pgl,Construction,,,(718) 684-1686,N/A,"507 Rutland Rd Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/construction-pgl-7337218,"$1,500 setup $20 per month (blog, landing & contact form)"
Lettire Construction,Construction,,,(718) 941-2712,https://lettire.com/portfolio-items/the-parkline,"626 Flatbush Ave Brooklyn, NY 11225",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/lettire-construction-497711988,"$1,500 setup $20 per month (blog, landing & contact form)"
Builders for Family & Youth,Construction,,,(718) 469-2075,N/A,"479 E 29th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/builders-for-family-youth-451896713,"$1,500 setup $20 per month (blog, landing & contact form)"
Mahirah Construction,Construction,,,(212) 470-9192,https://mahirahinc.com,"390 E 46th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mahirah-construction-567959120,"$1,500 setup $20 per month (blog, landing & contact form)"
Hudson Meridian Construction Group,Construction,,,(212) 475-1695,N/A,"455 E 43rd St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/hudson-meridian-construction-group-516911335,"$1,500 setup $20 per month (blog, landing & contact form)"
Grey Corpo Inc,Construction,,,(718) 513-3324,N/A,"3103 Foster Ave Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/grey-corpo-inc-504012474,"$1,500 setup $20 per month (blog, landing & contact form)"
R B Contracting,Construction,,,(718) 856-5500,N/A,"380 E 18th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/r-b-contracting-11497460,"$1,500 setup $20 per month (blog, landing & contact form)"
Laiba Construction Inc,Construction,,,(347) 493-9922,N/A,"380 E 18th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/laiba-construction-inc-14631102,"$1,500 setup $20 per month (blog, landing & contact form)"
Standard Construction Corp.,Construction,,,(347) 481-5278,N/A,"1295 Rogers Ave Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/standard-construction-corp-527587581,"$1,500 setup $20 per month (blog, landing & contact form)"
Big Rose Restoration,Construction,,,(347) 896-2429,https://www.bigroserestoration.com/LADYS/LADY/pickup/P390197,"501 E 26th St Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/big-rose-restoration-551992654,"$1,500 setup $20 per month (blog, landing & contact form)"
Gerald A Popp,Construction,,,(718) 282-1364,N/A,"507 E 26th St Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/gerald-a-popp-480250281,"$1,500 setup $20 per month (blog, landing & contact form)"
Yan Tai Inc,Construction,,,(718) 469-3163,N/A,"4104 Avenue D Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/yan-tai-inc-481141881,"$1,500 setup $20 per month (blog, landing & contact form)"
Gelt Construction,Construction,,,(347) 915-2830,N/A,"611 E 21st St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/gelt-construction-472142866,"$1,500 setup $20 per month (blog, landing & contact form)"
Dhaka Construction Company,Construction,,,(718) 778-6475,http://dhakaconstructionco.com,"330 Lefferts Ave Brooklyn, NY 11225",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dhaka-construction-company-512787061,"$1,500 setup $20 per month (blog, landing & contact form)"
Robinson Construction,Construction,,,(347) 663-3260,https://heronconstructions.com/pic5-h-c,"433 Rogers Ave Brooklyn, NY 11225",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/robinson-construction-480252966,"$1,500 setup $20 per month (blog, landing & contact form)"
Biltmore General Contractors,Construction,,,(718) 434-2210,N/A,"556 E 31st St Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/biltmore-general-contractors-505956027,"$1,500 setup $20 per month (blog, landing & contact form)"
Lee First Choice Construction,Construction,,,(718) 434-3854,N/A,"575 E 28th St Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/lee-first-choice-construction-515258914,"$1,500 setup $20 per month (blog, landing & contact form)"
Rogo Builders Inc,Construction,,,(718) 395-9017,N/A,"633 E New York Ave Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rogo-builders-inc-571052555,"$1,500 setup $20 per month (blog, landing & contact form)"
WS Construction Inc,Construction,,,(718) 768-2828,N/A,"120 Westminster Rd Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/ws-construction-inc-542176020,"$1,500 setup $20 per month (blog, landing & contact form)"
Raymond Contractors Inc,Construction,,,(718) 940-1918,https://www.raymondgroup.com,"418 E 16th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/raymond-contractors-inc-7582393,"$1,500 setup $20 per month (blog, landing & contact form)"
Mr. Gofran Contractor,Construction,,,(718) 462-7622,N/A,"383 Marlborough Rd Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mr-gofran-contractor-522894904,"$1,500 setup $20 per month (blog, landing & contact form)"
Al-Rahima Constructio,Construction,,,(347) 240-8662,N/A,"2824 Farragut Rd Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/al-rahima-constructio-465545878,"$1,500 setup $20 per month (blog, landing & contact form)"
Lewis Construction,Construction,,,(718) 856-1795,N/A,"535 E 19th St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/lewis-construction-10020515,"$1,500 setup $20 per month (blog, landing & contact form)"
