Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
SAS Roofing & Waterproofing,Construction,,,(347) 201-4261,http://www.sasroofingwaterproofing.com,"552 Rugby Rd Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/sas-roofing-waterproofing-577830309?lid=1002192962813,"$1,500 setup $20 per month (blog, landing & contact form)"
Total Renovation Contractors,Construction,,,(347) 798-2098,http://www.totalrenovation.contractors,"42 West St Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/total-renovation-contractors-533047708?lid=1002191448990,"$1,500 setup $20 per month (blog, landing & contact form)"
City & County Paving Corp,Construction,,,(718) 767-1555,http://www.cityandcountypaving.com,"1475 East 222nd Street Bronx County, NY 10469",4/4/25,,,https://www.yellowpages.com/bronx-county-ny/mip/city-county-paving-corp-22165267?lid=1002193303651,"$1,500 setup $20 per month (blog, landing & contact form)"
Glenwood Construction,Construction,,,(718) 213-9394,N/A,"1102 Glenwood Rd Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/glenwood-construction-22895853?lid=1000116582655,"$1,500 setup $20 per month (blog, landing & contact form)"
M. Bhuiyan Construction Company Inc.,Construction,,,(718) 677-3400,N/A,"1149 E 34th St Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/m-bhuiyan-construction-company-inc-504619633?lid=1001180572433,"$1,500 setup $20 per month (blog, landing & contact form)"
Alam General Contracting Inc,Construction,,,(917) 295-3948,N/A,"256 E 9th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/alam-general-contracting-inc-533598569?lid=1001235588550,"$1,500 setup $20 per month (blog, landing & contact form)"
M&K Construction Company,Construction,,,(347) 248-4787,N/A,"400 Ocean Pkwy Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/m-k-construction-company-481057504?lid=1001637798381,"$1,500 setup $20 per month (blog, landing & contact form)"
Yellow Construction Inc.,Construction,,,(347) 721-7554,N/A,"222 Remsen Ave Brooklyn, NY 11212",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/yellow-construction-inc-505440645?lid=1000890491947,"$1,500 setup $20 per month (blog, landing & contact form)"
Rosul Contracting Corporation,Construction,,,(718) 436-2938,http://www.rosulcontracting.com,"316 Fountain Ave Brooklyn, NY 11208",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rosul-contracting-corporation-12706986?lid=1000115247597,"$1,500 setup $20 per month (blog, landing & contact form)"
"Miller General Contracting, Ltd.",Construction,,,(917) 607-7192,N/A,"6639 Selfridge St Forest Hills, NY 11375",4/4/25,,,https://www.yellowpages.com/forest-hills-ny/mip/miller-general-contracting-ltd-472747035?lid=1000115519257,"$1,500 setup $20 per month (blog, landing & contact form)"
J.K. Construction N.Y. Inc.,Construction,,,(718) 479-4444,N/A,,4/4/25,,,https://www.yellowpages.com/nationwide/mip/j-k-construction-n-y-inc-20333008?lid=1000116668483,"$1,500 setup $20 per month (blog, landing & contact form)"
Big Rose Construction,Construction,,,(718) 434-4396,https://www.bigroseconstruction.nyc,"597 E 22nd St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/big-rose-construction-552169976,"$1,500 setup $20 per month (blog, landing & contact form)"
Dynamax Construction Corp,Construction,,,(718) 219-0000,http://www.dynamaxgc.com,"Brooklyn, NY 11214",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dynamax-construction-corp-499893087,"$1,500 setup $20 per month (blog, landing & contact form)"
Green View Construction Inc.,Construction,,,(347) 993-8830,N/A,"1254 36th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/green-view-construction-inc-475633996,"$1,500 setup $20 per month (blog, landing & contact form)"
N J General Contracting Inc,Construction,,,(718) 748-8520,N/A,"88 76th St Brooklyn, NY 11209",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/n-j-general-contracting-inc-7043703,"$1,500 setup $20 per month (blog, landing & contact form)"
A Howard Construction Inc,Construction,,,(718) 467-1200,N/A,"312 Hawthorne St Brooklyn, NY 11225",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/a-howard-construction-inc-6422387,"$1,500 setup $20 per month (blog, landing & contact form)"
Donofrio General Contractors Corp,Construction,,,(718) 788-2794,http://www.donofrio.biz,"195 28th St Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/donofrio-general-contractors-corp-9587811,"$1,500 setup $20 per month (blog, landing & contact form)"
Z H N Contracting Corp,Construction,,,(718) 522-0112,N/A,"63 Flushing Ave Brooklyn, NY 11205",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/z-h-n-contracting-corp-465012770,"$1,500 setup $20 per month (blog, landing & contact form)"
Bobby's Twins Contracting,Construction,,,(718) 946-7289,N/A,"2266 Mcdonald Ave Brooklyn, NY 11223",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/bobbys-twins-contracting-12800134,"$1,500 setup $20 per month (blog, landing & contact form)"
Volmar Construction Inc,Construction,,,(718) 832-2444,https://www.volmar.com/contact-us,"4400 2nd Ave Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/volmar-construction-inc-453343173,"$1,500 setup $20 per month (blog, landing & contact form)"
DiSalvo Contracting Co. Inc.,Construction,,,(718) 832-9400,http://www.disalvocontracting.com,"4214 3rd Ave Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/disalvo-contracting-co-inc-22276547,"$1,500 setup $20 per month (blog, landing & contact form)"
Jabus Building Corp,Construction,,,(718) 852-5364,N/A,"98 Van Dyke St Brooklyn, NY 11231",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/jabus-building-corp-7239989,"$1,500 setup $20 per month (blog, landing & contact form)"
2 Saab Construction,Construction,,,(347) 374-4080,http://www.saabconstruction.com,"3084 Coney Island Ave Brooklyn, NY 11235",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/2-saab-construction-18340923,"$1,500 setup $20 per month (blog, landing & contact form)"
Hillsborough Construction,Construction,,,(718) 434-2020,N/A,"1611 Foster Ave Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/hillsborough-construction-5839146,"$1,500 setup $20 per month (blog, landing & contact form)"
North East Contraction & MNG Service,Construction,,,(718) 826-6700,N/A,"828 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/north-east-contraction-mng-service-2886901,"$1,500 setup $20 per month (blog, landing & contact form)"
Plaza Construction Group Inc,Construction,,,(718) 677-6400,N/A,"1521 Troy Ave Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/plaza-construction-group-inc-465596918,"$1,500 setup $20 per month (blog, landing & contact form)"
Alamin Construction Inc,Construction,,,(718) 854-1300,https://alaminaci.com/about-us,"623 E 5th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/alamin-construction-inc-12306046,"$1,500 setup $20 per month (blog, landing & contact form)"
United Contracting,Construction,,,(718) 258-1900,http://united-contracting.com,"1320 Coney Island Ave Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/united-contracting-4543220,"$1,500 setup $20 per month (blog, landing & contact form)"
Apex Contracting & Renovation Inc,Construction,,,(718) 382-5101,http://apexcontracting.net,"1011 E 58th St Brooklyn, NY 11234",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/apex-contracting-renovation-inc-1177578,"$1,500 setup $20 per month (blog, landing & contact form)"
Dineen Construction Corp,Construction,,,(718) 965-2364,https://www.dineenconstruction.com,"389 9th St Brooklyn, NY 11215",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dineen-construction-corp-1254650,"$1,500 setup $20 per month (blog, landing & contact form)"
