Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Leader Construction,Construction,,,(347) 334-2482,http://gcleadercorp.com,"1060 Ocean Ave Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/leader-construction-11882633,"$1,500 setup $20 per month (blog, landing & contact form)"
Construc Kids,Construction,,,(347) 295-3896,N/A,"495 Flatbush Ave Brooklyn, NY 11225",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/construc-kids-456579924,"$1,500 setup $20 per month (blog, landing & contact form)"
Pargon Contracting,Construction,,,(718) 282-5500,N/A,"515 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/pargon-contracting-475717439,"$1,500 setup $20 per month (blog, landing & contact form)"
Tajco Construction Inc Tajco,Construction,,,(718) 284-5129,N/A,"515 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/tajco-construction-inc-tajco-548335824,"$1,500 setup $20 per month (blog, landing & contact form)"
Sunrise Contracting Corp,Construction,,,(718) 436-3600,N/A,"430 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/sunrise-contracting-corp-530230432,"$1,500 setup $20 per month (blog, landing & contact form)"
Sasco Construction Enterprise Inc,Construction,,,(718) 928-7200,N/A,"424 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/sasco-construction-enterprise-inc-545166759,"$1,500 setup $20 per month (blog, landing & contact form)"
Bestway Contractors Corp,Construction,,,(917) 755-1362,N/A,"16 Slocum Pl Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/bestway-contractors-corp-9715022,"$1,500 setup $20 per month (blog, landing & contact form)"
Sigui Construction A New York Builder,Construction,,,(631) 833-4185,N/A,"1700 Bedford Ave Brooklyn, NY 11225",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/sigui-construction-a-new-york-builder-551942690,"$1,500 setup $20 per month (blog, landing & contact form)"
Ew Howell,Construction,,,(929) 210-0983,N/A,"21 Hinckley Pl Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/ew-howell-504970156,"$1,500 setup $20 per month (blog, landing & contact form)"
Mughol General Construction Inc,Construction,,,(718) 856-6889,http://www.contractorinny.com,"608 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mughol-general-construction-inc-470142437,"$1,500 setup $20 per month (blog, landing & contact form)"
Skyline Construction Co,Construction,,,(718) 854-3300,N/A,"606 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/skyline-construction-co-465552372,"$1,500 setup $20 per month (blog, landing & contact form)"
Hamilton Contracting,Construction,,,(718) 282-8700,N/A,"606 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/hamilton-contracting-482047841,"$1,500 setup $20 per month (blog, landing & contact form)"
Dhother Construction Inc,Construction,,,(718) 282-8700,N/A,"606 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dhother-construction-inc-524866210,"$1,500 setup $20 per month (blog, landing & contact form)"
Asian Construction Company,Construction,,,(718) 437-5100,N/A,"195 E 8th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/asian-construction-company-14473001,"$1,500 setup $20 per month (blog, landing & contact form)"
Khyber Associates Inc,Construction,,,(718) 859-3999,https://khybersa.org/about,"669 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/khyber-associates-inc-465546762,"$1,500 setup $20 per month (blog, landing & contact form)"
Z Spot,Construction,,,(347) 425-0442,N/A,"5302 Church Ave Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/z-spot-505952189,"$1,500 setup $20 per month (blog, landing & contact form)"
Z & J Management,Construction,,,(718) 436-0301,N/A,"646 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/z-j-management-475677290,"$1,500 setup $20 per month (blog, landing & contact form)"
